title,platform,fix_date,developer,genre,user_score,category
"NBA 2K2",XBOX,27-02-2002,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.6,Good
"NBA 2K3",GC,07-10-2002,"Visual Concepts","Sports, Traditional, Basketball, Sim",6.3,Good
"NBA 2K3",PS2,08-10-2002,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.7,Good
"NBA 2K3",XBOX,09-10-2002,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.9,Good
"NCAA College Football 2K3",GC,09-09-2002,"Avalanche Software","Sports, Traditional, Football, Sim",8,Good
"NCAA College Football 2K3",PS2,07-08-2002,"Avalanche Software","Sports, Traditional, Football, Sim",7.6,Good
"NFL 2K1",DC,07-09-2000,"Visual Concepts","Sports, Traditional, Football, Sim",6.4,Good
"NFL 2K2",DC,19-09-2001,"Visual Concepts","Sports, Traditional, Football, Sim",7.2,Good
"NFL 2K2",PS2,19-11-2001,"Visual Concepts","Sports, Traditional, Football, Sim",7.4,Good
"NFL 2K2",XBOX,09-01-2002,"Visual Concepts","Sports, Traditional, Football, Sim",7.3,Good
"NFL 2K3",GC,21-08-2002,"Visual Concepts","Sports, Traditional, Football, Sim",6.5,Good
"NFL 2K3",PS2,12-08-2002,"Visual Concepts","Sports, Traditional, Football, Sim",7,Good
"NHL 2K3",GC,11-12-2002,Treyarch,"Sports, Traditional, Ice Hockey, Sim",6.2,Good
"NHL 2K3",PS2,10-11-2002,Treyarch,"Sports, Traditional, Ice Hockey, Sim",7.8,Good
"NHL 2K3",XBOX,19-11-2002,Treyarch,"Sports, Traditional, Ice Hockey, Sim",6.5,Good
"NHL Eastside Hockey Manager",PC,19-10-2004,"Sports Interactive","Sports, Traditional, Team, Ice Hockey, Management, Sim",6.9,Good
"NHL Eastside Hockey Manager 2005",PC,05-10-2005,"Sports Interactive","Sports, Traditional, Team, Ice Hockey, Management, Sim",6.6,Good
"NiGHTS into Dreams...",PS3,02-10-2012,"Sonic Team","Platformer, 3D, Action, General, Platformer, 3D",7.9,Good
"NiGHTS into Dreams...",X360,05-10-2012,"Sonic Team","Action, Platformer, General, Platformer, 3D, 3D",7.8,Good
Nightshade,PS2,10-02-2004,"Wow Entertainment","Action, "Beat-Em-Up"""",7.8,Good
"Olympic Games Tokyo 2020: The Official Video Game",Switch,22-06-2021,Sega,"Sports, Individual, Athletics",6.4,Good
"Ooga Booga",DC,13-09-2001,"Visual Concepts","Action, General",6.2,Good
"Otogi 2: Immortal Warriors",XBOX,21-10-2004,"From Software","Action Adventure, Fantasy",7.8,Good
"OutRun 2006: Coast 2 Coast",PC,27-06-2006,"Sumo Digital","Driving, Racing, Arcade, Arcade, Automobile",7.9,Good
Outtrigger,DC,24-07-2001,"Sega AM2","Action, General",8,Good
"Panzer Dragoon",PS4,28-09-2020,"Forever Entertainment,  MegaPixel Studio","Action, Shooter, Rail",6.3,Good
